Latitude,Longitude,Date,MODIS_Tile,MYD13A2_006_Line_Y_1km,MYD13A2_006_Sample_X_1km,MYD13A2_006__1_km_16_days_NDVI,MYD13A2_006__1_km_16_days_VI_Quality,MYD13A2_006__1_km_16_days_VI_Quality_bitmask,MYD13A2_006__1_km_16_days_VI_Quality_MODLAND,MYD13A2_006__1_km_16_days_VI_Quality_MODLAND_Description,MYD13A2_006__1_km_16_days_VI_Quality_VI_Usefulness,MYD13A2_006__1_km_16_days_VI_Quality_VI_Usefulness_Description,MYD13A2_006__1_km_16_days_VI_Quality_Aerosol_Quantity,MYD13A2_006__1_km_16_days_VI_Quality_Aerosol_Quantity_Description,MYD13A2_006__1_km_16_days_VI_Quality_Adjacent_cloud_detected,MYD13A2_006__1_km_16_days_VI_Quality_Adjacent_cloud_detected_Description,MYD13A2_006__1_km_16_days_VI_Quality_Atmosphere_BRDF_Correction,MYD13A2_006__1_km_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MYD13A2_006__1_km_16_days_VI_Quality_Mixed_Clouds,MYD13A2_006__1_km_16_days_VI_Quality_Mixed_Clouds_Description,MYD13A2_006__1_km_16_days_VI_Quality_Land/Water_Mask,MYD13A2_006__1_km_16_days_VI_Quality_Land/Water_Mask_Description,MYD13A2_006__1_km_16_days_VI_Quality_Possible_snow/ice,MYD13A2_006__1_km_16_days_VI_Quality_Possible_snow/ice_Description,MYD13A2_006__1_km_16_days_VI_Quality_Possible_shadow,MYD13A2_006__1_km_16_days_VI_Quality_Possible_shadow_Description
43.0444,-78.7833,2008-06-17,h12v04,834.0,290.0,0.8988999724388123,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-07-03,h12v04,834.0,290.0,0.8853999972343445,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-07-19,h12v04,834.0,290.0,0.914199948310852,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-08-04,h12v04,834.0,290.0,0.8746999502182007,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-08-20,h12v04,834.0,290.0,0.8568999767303467,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-09-05,h12v04,834.0,290.0,0.8130999803543091,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-09-21,h12v04,834.0,290.0,0.7841999530792236,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-10-07,h12v04,834.0,290.0,0.6941999793052673,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-10-23,h12v04,834.0,290.0,0.5228999853134155,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-11-08,h12v04,834.0,290.0,0.30969998240470886,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-11-24,h12v04,834.0,290.0,0.019500000402331352,2066.0,0b0000100000010010,0b10,"Pixel produced, but most probably cloudy",0b0100,Decreasing quality (0100),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-12-10,h12v04,834.0,290.0,0.09539999812841415,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-12-26,h12v04,834.0,290.0,0.39089998602867126,2189.0,0b0000100010001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality (0011),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-01-09,h12v04,834.0,290.0,0.0908999964594841,2326.0,0b0000100100010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-01-25,h12v04,834.0,290.0,0.09889999777078629,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-02-10,h12v04,834.0,290.0,0.2705000042915344,3290.0,0b0000110011011010,0b10,"Pixel produced, but most probably cloudy",0b0110,Decreasing quality (0110),0b11,High,0b0,No,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-02-26,h12v04,834.0,290.0,0.40299999713897705,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-03-14,h12v04,834.0,290.0,0.4034999907016754,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-03-30,h12v04,834.0,290.0,0.4242999851703644,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-04-15,h12v04,834.0,290.0,0.4196999967098236,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-05-01,h12v04,834.0,290.0,0.5615999698638916,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-05-17,h12v04,834.0,290.0,0.8052999973297119,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-06-02,h12v04,834.0,290.0,0.8944999575614929,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-06-18,h12v04,834.0,290.0,0.894599974155426,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-07-04,h12v04,834.0,290.0,0.9032999873161316,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-07-20,h12v04,834.0,290.0,0.887999951839447,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-08-05,h12v04,834.0,290.0,0.8743000030517578,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-08-21,h12v04,834.0,290.0,0.8455999493598938,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-09-06,h12v04,834.0,290.0,0.8395999670028687,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-09-22,h12v04,834.0,290.0,0.8251000046730042,35029.0,0b1000100011010101,0b01,"VI produced, but check other QA",0b0101,Decreasing quality (0101),0b11,High,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
43.0444,-78.7833,2009-10-08,h12v04,834.0,290.0,0.6348999738693237,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-10-24,h12v04,834.0,290.0,0.4640999734401703,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-11-09,h12v04,834.0,290.0,0.49719998240470886,2120.0,0b0000100001001000,0b00,"VI produced, good quality",0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2009-11-25,h12v04,834.0,290.0,0.46889999508857727,34961.0,0b1000100010010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality (0100),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
43.0444,-78.7833,2009-12-11,h12v04,834.0,290.0,0.40849998593330383,35294.0,0b1000100111011110,0b10,"Pixel produced, but most probably cloudy",0b0111,Decreasing quality (0111),0b11,High,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
43.0444,-78.7833,2009-12-27,h12v04,834.0,290.0,0.1216999962925911,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-01-09,h12v04,834.0,290.0,0.1216999962925911,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-01-25,h12v04,834.0,290.0,0.11569999903440475,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-02-10,h12v04,834.0,290.0,0.05829999968409538,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-02-26,h12v04,834.0,290.0,0.025299999862909317,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-03-14,h12v04,834.0,290.0,0.42549997568130493,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-03-30,h12v04,834.0,290.0,0.4765999913215637,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-04-15,h12v04,834.0,290.0,0.5388999581336975,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-05-01,h12v04,834.0,290.0,0.7953000068664551,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-05-17,h12v04,834.0,290.0,0.8298999667167664,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-06-02,h12v04,834.0,290.0,0.8883999586105347,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-06-18,h12v04,834.0,290.0,0.875499963760376,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-07-04,h12v04,834.0,290.0,0.8710999488830566,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-07-20,h12v04,834.0,290.0,0.8815999627113342,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-08-05,h12v04,834.0,290.0,0.8650999665260315,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-08-21,h12v04,834.0,290.0,0.8470999598503113,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-09-06,h12v04,834.0,290.0,0.8223999738693237,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-09-22,h12v04,834.0,290.0,0.7631999850273132,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-10-08,h12v04,834.0,290.0,0.6937999725341797,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-10-24,h12v04,834.0,290.0,0.48249998688697815,2120.0,0b0000100001001000,0b00,"VI produced, good quality",0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-11-09,h12v04,834.0,290.0,0.49869999289512634,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-11-25,h12v04,834.0,290.0,0.3937999904155731,2518.0,0b0000100111010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b11,High,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-12-11,h12v04,834.0,290.0,0.02889999933540821,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2010-12-27,h12v04,834.0,290.0,0.11299999803304672,2322.0,0b0000100100010010,0b10,"Pixel produced, but most probably cloudy",0b0100,Decreasing quality (0100),0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-01-09,h12v04,834.0,290.0,0.11299999803304672,2322.0,0b0000100100010010,0b10,"Pixel produced, but most probably cloudy",0b0100,Decreasing quality (0100),0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-01-25,h12v04,834.0,290.0,0.09649999439716339,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-02-10,h12v04,834.0,290.0,0.04659999907016754,18445.0,0b0100100000001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b1,Yes,0b0,No
43.0444,-78.7833,2011-02-26,h12v04,834.0,290.0,0.0722000002861023,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-03-14,h12v04,834.0,290.0,0.3807999789714813,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-03-30,h12v04,834.0,290.0,0.42800000309944153,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-04-15,h12v04,834.0,290.0,0.468099981546402,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-05-01,h12v04,834.0,290.0,0.6169999837875366,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-05-17,h12v04,834.0,290.0,0.8845999836921692,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-06-02,h12v04,834.0,290.0,0.8593999743461609,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-06-18,h12v04,834.0,290.0,0.8172000050544739,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-07-04,h12v04,834.0,290.0,0.9063999652862549,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-07-20,h12v04,834.0,290.0,0.8460999727249146,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-08-05,h12v04,834.0,290.0,0.8687999844551086,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-08-21,h12v04,834.0,290.0,0.8657999634742737,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-09-06,h12v04,834.0,290.0,0.8306999802589417,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-09-22,h12v04,834.0,290.0,0.7854999899864197,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-10-08,h12v04,834.0,290.0,0.6933000087738037,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-10-24,h12v04,834.0,290.0,0.5297999978065491,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-11-09,h12v04,834.0,290.0,0.46799999475479126,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-11-25,h12v04,834.0,290.0,0.45159998536109924,2189.0,0b0000100010001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality (0011),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2011-12-11,h12v04,834.0,290.0,0.49570000171661377,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
